2026-06-26 00:30:48.936: [INFO] VisibilityChanged: 0
2026-06-26 00:30:48.946: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.946: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.947: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.947: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.948: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.948: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.948: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.949: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.949: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.949: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.950: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:48.956: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-06-26 00:30:48.956: [INFO] OnDoneLoading sync enabled: 0
2026-06-26 00:30:50.022: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:51.891: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-26 00:30:51.893: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-26 00:30:51.894: [INFO] Primary account changed.
2026-06-26 00:30:51.894: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-06-26 00:30:51.897: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-26 00:30:51.904: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-26 00:30:55.360: [INFO] VisibilityChanged: 1
2026-06-26 00:30:57.948: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-26 00:30:57.948: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-26 00:30:57.949: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-26 00:30:57.949: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-26 00:30:57.950: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-26 00:30:57.950: [INFO] BookmarkNodeAdded, ABU: 0
